axis,axis_value,case_id,source_packet,soil_x_abs_peak_m,soil_x_rms_m,buffer_relative_pitch_rms_rad,buffer_stroke_utilization_rms_max,buffer_rope_tension_rms_max_N,source_domain_frame_count_steady,post_stroke_proxy_frame_count_full
depth_at_m_3p25,3.5,S_L35_M325,v18,0.24979481279186203,0.09606269037189544,0.022296352925614667,0.4983289028396565,716878.4302289708,5286,117
depth_at_m_3p25,3.75,S_L375_M325,v19,0.2518759671120774,0.09106949233766992,0.022476916417027003,0.5024503074475368,721119.0651427183,5249,155
depth_at_m_3p25,4.0,RAC,v18,0.23833334670911777,0.08640864499491943,0.02274643210347487,0.5085930772939613,726436.1610650955,5238,171
depth_at_m_3p25,4.25,S_L425_M325,v19,0.23701896048434606,0.08267307654210304,0.02288576949454292,0.5117789671188759,730568.5994823128,5209,203
depth_at_m_3p25,4.5,S_L45_M325,v18,0.22587781232852241,0.07984358072969812,0.023133032490893716,0.5173691422881159,734756.0466217456,5197,215
m_at_L_4p0,2.0,S_L40_M200,v18,0.3487957635837664,0.13963746302714822,0.02500312148215054,0.5587221238821507,714960.9750030305,5146,271
m_at_L_4p0,2.625,S_L40_M2625,v19,0.27676534239105616,0.10679177346377293,0.023749998714324764,0.5308347356092518,720541.0464693691,5209,206
m_at_L_4p0,3.25,RAC,v18,0.23833334670911777,0.08640864499491943,0.02274643210347487,0.5085930772939613,726436.1610650955,5238,171
m_at_L_4p0,3.875,S_L40_M3875,v19,0.2163070551206973,0.07429532347142395,0.022441772711830437,0.5018792102355759,731263.3605732542,5265,142
m_at_L_4p0,4.5,S_L40_M450,v18,0.17961271196754328,0.06619584935790668,0.022315552074152638,0.49909688466374824,734816.4247822976,5286,122
