case_id,source_packet,field,quantity,excluded_quantity,frame_count,finite,rms_m,abs_peak_m,signed_peak_m,peak_time_s,max_step_m,max_pinned_kinematic_residual_m,max_soil_alias_residual_m,magnitude_acceptance_threshold_defined,magnitude_requires_engineering_review,pass
RAC,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.08681777977795976,0.23833334670911777,0.23833334670911777,166.20000000000002,0.0261408366426776,0.0,0.0,False,True,True
R0,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,2.1194450922628967e-11,6.573064984681197e-11,6.573064984681197e-11,54.5,8.216823972969234e-12,0.0,0.0,False,True,True
RA,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.08670905327778465,0.2375783579988665,0.2375783579988665,166.20000000000002,0.026318369604289387,0.0,0.0,False,True,True
RC,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.0007019914353415049,0.0012826583435448984,0.0012826583435448984,36.7,0.00011292856723588466,0.0,0.0,False,True,True
B_P85_N9,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.10174000044191474,0.290597330848807,0.290597330848807,114.2,0.02644706741137534,0.0,0.0,False,True,True
B_P185_N9,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.06680066878729679,0.19517417437508566,0.19517417437508566,165.60000000000002,0.021405503220149825,0.0,0.0,False,True,True
S_L35_M200,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.15640308091052774,0.3873500869472366,-0.3873500869472366,124.10000000000001,0.042642648555182475,0.0,0.0,False,True,True
S_L35_M325,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.09557966835961444,0.24979481279186203,0.24979481279186203,166.60000000000002,0.0265084078452765,0.0,0.0,False,True,True
S_L35_M450,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.07065693751216562,0.1929015923528901,0.1929015923528901,165.60000000000002,0.020851079458193034,0.0,0.0,False,True,True
S_L40_M200,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.1404157383319793,0.3487957635837664,0.3487957635837664,114.60000000000001,0.03648036880928354,0.0,0.0,False,True,True
S_L40_M450,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.06656413299397355,0.18197828539795097,-0.18197828539795097,123.80000000000001,0.021136998032324796,0.0,0.0,False,True,True
S_L45_M200,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.13057507314591746,0.36188343234288156,0.36188343234288156,114.4,0.033764220424562924,0.0,0.0,False,True,True
S_L45_M325,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.08091180932556741,0.22587781232852241,0.22587781232852241,165.9,0.025009705389580493,0.0,0.0,False,True,True
S_L45_M450,v18,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.06323946857836434,0.16618259999447174,-0.16618259999447174,123.7,0.019006370767865086,0.0,0.0,False,True,True
S_L375_M325,v19,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.09113213468334314,0.2518759671120774,0.2518759671120774,166.3,0.02825348253777949,0.0,0.0,False,True,True
S_L425_M325,v19,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.08352941085473,0.23701896048434606,0.23701896048434606,166.10000000000002,0.025552996109345194,0.0,0.0,False,True,True
S_L40_M2625,v19,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.10725139383381387,0.27676534239105616,0.27676534239105616,113.9,0.031439418556537584,0.0,0.0,False,True,True
S_L40_M3875,v19,motion[].spud.soil_x_displacement_m,positioning-spud displacement relative to fixed soil reference at the model reference section,positioning-spud displacement relative to buffer trolley,6001,True,0.07452117898687985,0.2163070551206973,0.2163070551206973,165.70000000000002,0.024692497486841353,0.0,0.0,False,True,True
